event_id,ticker,detected_sec,missing_reason,category,direction,detection_date_et,base_sec,base_close,return_15m_pct,return_30m_pct,return_60m_pct,return_120m_pct,return_official_close_pct,return_next_session_close_pct,ohlc_sources,caveat
cee6cac9be467e41bc9b15c9,CDXS,1784912139,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
cee6cac9be467e41bc9b15c9,MXL,1784912139,,earnings_guidance,bullish,2026-07-24,1784912160,72.98500061035156,-1.2468365479198273,-0.8152376731209277,-1.760640749966813,-2.7745447817283386,-2.7745447817283386,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
cee6cac9be467e41bc9b15c9,RBNE,1784912139,,earnings_guidance,bullish,2026-07-24,1784912160,3.3166,-0.6512693722486973,-0.73569317976242,-0.34975577398540514,,-0.5005125731170623,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
e9878b26ad74083511454ec3,RLI,1784912880,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
8dcf6b1667b32eab5e27650d,R,1784913660,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
6b96e76867178872cfd18b4b,KNX,1784913720,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
7ddac8658ce176349fc6442e,SRFM,1784913778,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
8840ff77a17ba0d08df94e12,BFH,1784914680,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
63dd9937540e9827ebd35bee,GNTX,1784916098,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
ab567dd7d616f49d6c8193a2,MNKD,1784916387,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
7f7b2880dfd4d22176dc1bd1,SLG,1784916420,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
a547340604e5e85c99bfa145,AXP,1784916470,,earnings_guidance,bullish,2026-07-24,1784916480,323.80999755859375,-0.05326745710848568,-0.24705469225791976,,,0.2100351290020619,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
12073814e4f30725d36bbf10,LSTA,1784916576,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
545dbef31a601c1fa348b38b,ASST,1784917200,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
62343e7059f8e4556173e39b,OTLK,1784918400,,fda_clinical,bullish,2026-07-24,1784919600,1.34,0,2.2462686567164214,10.074626865671643,0.007462686567172305,11.194029850746269,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
55ef5907160a6f797556f7c0,OTLK,1784918531,,fda_clinical,bullish,2026-07-24,1784919600,1.34,0,6.664179104477608,10.074626865671643,1.4925373134328401,11.194029850746269,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
d751ee73bce67c9726063f1a,OTLK,1784918622,,fda_clinical,bullish,2026-07-24,1784919600,1.34,0,8.955223880596996,8.208955223880587,0.7611940298507536,11.194029850746269,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
6b8466ffb2046510ae07a859,OTLK,1784920680,,fda_clinical,bullish,2026-07-24,1784920680,1.605,-6.853582554517123,-14.330218068535828,-14.641744548286596,-14.542056074766363,-7.165109034267914,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
0134b8e4c4be1171b5f49f8a,MCHP,1784924100,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
0e91f947aff1a298966138fd,KVUE,1784925776,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
1afc0b81ae0cfb63174020ff,SXTC,1784928600,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
00f0f6f66e2d34d1e2db2219,MBAI,1784929095,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
